Húmero,2.7,1.5,33,0
Húmero,2.7,3.5,35,2
Húmero,3.7,5.5,37,4
Húmero,3.7,7.5,39,6
Fémur,4.7,2.7,50,2
Húmero,4.7,9.5,41,8
Húmero,4.7,11.5,43,10
Fémur,5.7,4.7,51,4
Húmero,5.7,13.5,45,12
Húmero,5.7,15.5,47,14
Fémur,6.7,6.7,52,6
Húmero,6.7,17.5,49,16
Húmero,6.7,19.5,51,18
Fémur,7.7,8.7,53,8
Húmero,7.7,21.5,53,20
Húmero,7.7,23.5,55,22
Fémur,8.7,10.7,54,10
Húmero,8.7,25.5,57,24
Húmero,8.7,27.5,59,26
Fémur,9.7,12.7,55,12
Húmero,9.7,29.5,61,28
Húmero,9.7,31.5,63,30
Fémur,10.7,14.7,56,14
Húmero,10.7,33.5,65,32
Húmero,10.7,35.5,67,34
Fémur,11.7,16.7,57,16
Húmero,11.7,37.5,69,36
Húmero,11.7,39.5,71,38
Fémur,12.7,18.7,58,18
Húmero,12.7,41.5,73,40
Húmero,12.7,43.5,75,42
Fémur,13.7,20.7,59,20
Húmero,13.7,45.5,77,44
Húmero,13.7,47.5,79,46
Fémur,14.7,22.7,60,22
Húmero,14.7,49.5,81,48
Húmero,14.7,51.5,83,50
Fémur,15.7,24.7,61,24
Húmero,15.7,53.5,85,52
Húmero,15.7,55.5,87,54
Fémur,16.7,26.7,62,26
Húmero,16.7,57.5,89,56
Húmero,16.7,59.5,91,58
Fémur,17.7,28.7,63,28
Húmero,17.7,61.5,93,60
Húmero,17.7,63.5,95,62
Fémur,18.7,30.7,64,30
Húmero,18.7,65.5,97,64
Húmero,18.7,67.5,99,66
Fémur,19.7,32.7,65,32
Húmero,19.7,69.5,101,68
Húmero,19.7,71.5,103,70
Fémur,20.7,34.7,66,34
Húmero,20.7,73.5,105,72
Húmero,20.7,75.5,107,74
Fémur,21.7,36.7,67,36
Húmero,21.7,77.5,109,76
Húmero,21.7,79.5,111,78
Fémur,22.7,38.7,68,38
Húmero,22.7,81.5,113,80
Húmero,22.7,83.5,115,82
Fémur,23.7,40.7,69,40
Húmero,23.7,85.5,117,84
Húmero,23.7,87.5,119,86
Fémur,24.7,42.7,70,42
Húmero,24.7,89.5,121,88
Húmero,24.7,91.5,123,90
Fémur,25.7,44.7,71,44
Húmero,25.7,93.5,125,92
Húmero,25.7,95.5,127,94
Fémur,26.7,46.7,72,46
Húmero,26.7,97.5,129,96
Húmero,26.7,99.5,131,98
Fémur,27.7,48.7,73,48
Húmero,27.7,101.5,133,100
Húmero,27.7,103.5,135,102
Fémur,28.7,50.7,74,50
Húmero,28.7,105.5,137,104
Húmero,28.7,107.5,139,106
Fémur,29.7,52.7,75,52
Húmero,29.7,109.5,141,108
Húmero,29.7,111.5,143,110
Fémur,30.7,54.7,76,54
Húmero,30.7,113.5,145,112
Húmero,30.7,115.5,147,114
Fémur,31.7,56.7,77,56
Húmero,31.7,117.5,149,116
Húmero,31.7,119.5,151,118
Fémur,32.7,58.7,78,58
Húmero,32.7,121.5,153,120
Húmero,32.7,123.5,155,122
Fémur,33.7,60.7,79,60
Húmero,33.7,125.5,157,124
Húmero,33.7,127.5,159,126
Fémur,34.7,62.7,80,62
Húmero,34.7,129.5,161,128
Húmero,34.7,131.5,163,130
Fémur,35.7,64.7,81,64
Húmero,35.7,133.5,165,132
Húmero,35.7,135.5,167,134
Fémur,36.7,66.7,82,66
Húmero,36.7,137.5,169,136
Húmero,36.7,139.5,171,138
Fémur,37.7,68.7,83,68
Húmero,37.7,141.5,173,140
Húmero,37.7,143.5,175,142
Fémur,38.7,70.7,84,70
Húmero,38.7,145.5,177,144
Húmero,38.7,147.5,179,146
Fémur,39.7,72.7,85,72
Húmero,39.7,149.5,181,148
Húmero,39.7,151.5,183,150
Fémur,40.7,74.7,86,74
Húmero,40.7,153.5,185,152
Húmero,40.7,155.5,187,154
Fémur,41.7,76.7,87,76
Húmero,41.7,157.5,189,156
Húmero,41.7,159.5,191,158
Fémur,42.7,78.7,88,78
Húmero,42.7,161.5,193,160
Húmero,42.7,163.5,195,162
Fémur,43.7,80.7,89,80
Húmero,43.7,165.5,197,164
Húmero,43.7,167.5,199,166
Fémur,44.7,82.7,90,82
Húmero,44.7,169.5,201,168
Húmero,44.7,171.5,203,170
Fémur,45.7,84.7,91,84
Húmero,45.7,173.5,205,172
Húmero,45.7,175.5,207,174
Fémur,46.7,86.7,92,86
Húmero,46.7,177.5,209,176
Húmero,46.7,179.5,211,178
Fémur,47.7,88.7,93,88
Húmero,47.7,181.5,213,180
Húmero,47.7,183.5,215,182
Fémur,48.7,90.7,94,90
Húmero,48.7,185.5,217,184
Húmero,48.7,187.5,219,186
Fémur,49.7,92.7,95,92
Húmero,49.7,189.5,221,188
Húmero,49.7,191.5,223,190
Fémur,50.7,94.7,96,94
Húmero,50.7,193.5,225,192
Húmero,50.7,195.5,227,194
Fémur,51.7,96.7,97,96
Húmero,51.7,197.5,229,196
Húmero,51.7,199.5,231,198
Fémur,52.7,98.7,98,98
Húmero,52.7,201.5,233,200
Húmero,52.7,203.5,235,202
Fémur,53.7,100.7,99,100
Húmero,53.7,205.5,237,204
Fémur,54.7,102.7,100,102
Fémur,55.7,104.7,101,104
Fémur,56.7,106.7,102,106
Fémur,57.7,108.7,103,108
Fémur,58.7,110.7,104,110
Fémur,59.7,112.7,105,112
Fémur,60.7,114.7,106,114
Fémur,61.7,116.7,107,116
Fémur,62.7,118.7,108,118
Fémur,63.7,120.7,109,120
Fémur,64.7,122.7,110,122
Fémur,65.7,124.7,111,124
Fémur,66.7,126.7,112,126
Fémur,67.7,128.7,113,128
Fémur,68.7,130.7,114,130
Fémur,69.7,132.7,115,132
Fémur,70.7,134.7,116,134
Fémur,71.7,136.7,117,136
Fémur,72.7,138.7,118,138
Fémur,73.7,140.7,119,140
Fémur,74.7,142.7,120,142
Fémur,75.7,144.7,121,144
Fémur,76.7,146.7,122,146
Fémur,77.7,148.7,123,148
Fémur,78.7,150.7,124,150
Fémur,79.7,152.7,125,152
Fémur,80.7,154.7,126,154
Fémur,81.7,156.7,127,156
Fémur,82.7,158.7,128,158
Fémur,83.7,160.7,129,160
Fémur,84.7,162.7,130,162
Fémur,85.7,164.7,131,164
Fémur,86.7,166.7,132,166
Fémur,87.7,168.7,133,168
Fémur,88.7,170.7,134,170
Fémur,89.7,172.7,135,172
Fémur,90.7,174.7,136,174
Fémur,91.7,176.7,137,176
Fémur,92.7,178.7,138,178
Fémur,93.7,180.7,139,180
Fémur,94.7,182.7,140,182
Fémur,95.7,184.7,141,184
Fémur,96.7,186.7,142,186
Fémur,97.7,188.7,143,188
Fémur,98.7,190.7,144,190
Fémur,99.7,192.7,145,192
Fémur,100.7,194.7,146,194
Fémur,101.7,196.7,147,196
Fémur,102.7,198.7,148,198
Fémur,103.7,200.7,149,200
Fémur,104.7,202.7,150,202
Fémur,105.7,204.7,151,204
Fémur,106.7,206.7,152,206
